Sample ID/Group/Community,Master ID,Skeletal code,Skeletal element,Data type,14C date(s) that are newly published in this study,Published Study,Associated authors if this is a newly reported sample,Average Confidence Interval Date,Dating,Broad chronological / archaeological period,Analysis Label (grouping individuals of similar ancestry across diverse regions),Split Label  (grouping individuals of similar ancestry by site),Passed all analysis filters,Location,Country,Broad Geographic Region (Genetic clustering may sometimes differ),Latitude,Longitude,Gender,mtDNA haplogroup,Y chromosome haplogroup,Y chromosome determination strategy,"Whole genome average coverage across 1,150,639 targeted autosomal SNPs","Whole genome SNPs (number of 1,150,639 targeted autosomal SNPs covered by at least once sequence)",X-contamination point estimate from ANGSD on non-damage-restricted data if male and ≥200 SNPs,X-contamination Z-score from ANGSD on non-damage-restricted data if male and ≥200 SNPs,Library ID(s),UDG treatment by library (minus=untreated; half=treated except in last nucleotides; plus=treated over all nucleotides),damage by library in sequences aligning to nuclear targets,mtDNA match rate to consensus by library (for all sequences and thus without damage restriction),"Assessment of data quality (notes in parentheses included if match rate to the mtDNA consensus sequence is <0.95 or X chromosome contamination estimate in males is significantly non-zero, or ratio of sequences matching Y and X chromosome is unexpected for a male or female)"
I2752,I2752,GEN21,petrous,separate nuclear and mtDNA target enrichment,no 14C date,LipsonNature2017,n/a (previously reported),5175,3600-2850 BCE,C / EN,Baden_LCA,Baden_LCA,Yes,"Balatonlelle, Fels-Gamász",Hungary,Europe,46.78469,17.731714,M,K1a1,I2,manual,0.669,520804,..,..,S2752.L1,half,0.188,..,PASS
I2785,I2785,GEN55,petrous,separate nuclear and mtDNA target enrichment,no 14C date,LipsonNature2017,n/a (previously reported),5175,3600-2850 BCE,C / EN,Baden_LCA,Baden_LCA,Yes,"Vámosgyörk, MHAT telep",Hungary,Europe,47.684976,19.918434,F,T2c2,n/a (female),n/a (female),0.811,572729,n/a (female),n/a (female),S2785.L1,half,0.163,0.997,PASS
I1658,I1658,"TA3/R8, Talin tomb 115",petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,LazaridisNature2016,n/a (previously reported),5170,"3347-3092 calBCE (4492±29 BP, OxA-31874)",EMBA,Armenia_EBA,Armenia_EBA,Yes,Talin,Armenia,West Asia,40.39075,43.89106667,F,U3a2,n/a (female),n/a (female),3.408,814932,n/a (female),n/a (female),S1658.E1.L1,half,0.131,0.996,PASS
I11501,I11501,"Kurgan 6, burial 10",tooth,simultaneous enrichment of nuclear and mtDNA targets (1st formulation),"3341-3097 calBCE (4495±25 BP, PSUAMS-4604)",This study,"Michael Frachetti, Egor Kitov, Gaziz Akhatov, Antonina Yermolayeva, Arman A. Bissembaev, Talgat B. Mamirov, Aslan M. Mamedov",5169,"3341-3097 calBCE (4495±25 BP, PSUAMS-4604)",EMBA,Central_Steppe_EMBA,Kumsay_EBA,Yes,"Kumsay, Kyryk Oba",Kazakhstan,Forest / Steppe,49.49,58.51,F,C5c+16234,n/a (female),n/a (female),1.116814,656063,n/a (female),n/a (female),S11501.E1.L1,half,0.076,0.985,PASS
I8510,I8510,"MOS317, Geoksyur 1, 1964, 200 бяия (Byaiya), IE-10-20",petrous,separate nuclear and mtDNA target enrichment,"3341-3094 calBCE (4490±25 BP, PSUAMS-3987)",This study,Sergey Vasilyev,5168,"3341-3094 calBCE (4490±25 BP, PSUAMS-3987)",C / EN,Geoksyur_EN,Geoksyur_EN,Yes,Geoksyur,Turkmenistan,Iran / Turan,37.1907,61.0343,F,I1b,n/a (female),n/a (female),0.379169,343931,n/a (female),n/a (female),S8510.E1.L1,half,0.126,0.992,PASS
DA383_final.SG,DA383,"Excavation 1, burial 1, 6286-1",petrous,Shotgun data with a random sequence representing each nucleotide,no 14C date,DamgaardScience2018,n/a (previously reported),5150,3400-3000 BCE,C / EN,Namazga_CA_o.SG,Namazga_CA_o.SG,Yes,Takhirbai 3,Turkmenistan,Iran / Turan,38.718548,61.692287,F,W3a2,n/a (female),n/a (female),0.8,433928,n/a (female),n/a (female),..,minus,..,..,PASS
DA379_final.SG,DA379,"Excavation 1, burial 43, 6286-38",tooth,Shotgun data with a random sequence representing each nucleotide,previously published 14C date,DamgaardScience2018,n/a (previously reported),5147,"3370-3023 calBCE (4515±57 BP, UBA-33658)",C / EN,Namazga_CA.SG_1d.rel.DA380_final.SG,Namazga_CA.SG_1d.rel.DA380_final.SG,No,Kara-Depe,Turkmenistan,Iran / Turan,37.60098,59.328411,M,..,J,automatic,0.1,38014,..,..,..,minus,..,..,PASS
BOT15.SG,BOT15,Botai Excavation 15,..,Shotgun data with a random sequence representing each nucleotide,previously published 14C date,DamgaardScience2018,n/a (previously reported),5135,"3343-3026 calBCE (4474±37 BP, UBA-32663)",N,Botai.SG,Botai.SG,Yes,Botai,Kazakhstan,Forest / Steppe,53.305983,67.648166,M,R1b1,N1c2b2,automatic,3,1065924,..,..,..,minus,..,..,PASS
I2754,I2754,GEN23,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,LipsonNature2017,n/a (previously reported),5131,"3337-3024 calBCE (4465±30 BP, Poz-83637)",C / EN,Baden_LCA,Baden_LCA,Yes,"Balatonlelle, Fels-Gamász",Hungary,Europe,46.78469,17.731714,M,J1c,I2,manual,0.335,321304,..,..,S2754.L1,half,0.139,..,PASS
I2405_published,I2405,8.2a,bone (long bone),separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2018,n/a (previously reported),5128,"3335-3020 calBCE (4460±30 BP, Beta-430713)",C / EN,Globular_Amphora,Globular_Amphora,Yes,Kierzkowo,Poland,Europe,52.85,17.88333333,M,W5,I2a2,manual,0.082,91505,..,..,S2405.E1.L1,half,..,0.975,PASS
I11471,I11471,"415, Grave 406, Probably Period I or early Period II",petrous,simultaneous enrichment of nuclear and mtDNA targets (1st formulation),"3328-3022 calBCE (4450±20 BP, PSUAMS-4592)",This study,"Massimo Vidale, Alfredo Coppa",5125,"3328-3022 calBCE (4450±20 BP, PSUAMS-4592)",BA,Indus_Periphery5,Shahr_I_Sokhta_BA2,Yes,"Seistan, Shahr-i Sokhta",Iran,Iran / Turan,30.649857,61.400311,F,U1a1c1,n/a (female),n/a (female),0.024888,28567,n/a (female),n/a (female),S11471.Y1.E1.L1,half,0.108,..,PASS
I11028,I11028,"UZ-BST-009, Site ?, 58-21, 119-4 ",petrous,simultaneous enrichment of nuclear and mtDNA targets (1st formulation),"3331-2972 calBCE (4445±25 BP, PSUAMS-4780)",This study,Michael Frachetti,5102,"3331-2972 calBCE (4445±25 BP, PSUAMS-4780)",C / EN,Bustan_EN,Bustan_EN,Yes,Bustan,Uzbekistan,Iran / Turan,37.66666667,67,M,W1+119,J2a1h2,automatic,1.127197,644891,0.003857,1.933243212,S11028.E1.L1,half,0.198,0.967,PASS
I8528,I8528,"MOS325, Geoksyur 1, 1963, N43, Tolos ""K"" (K), IE-10-18",petrous,separate nuclear and mtDNA target enrichment,no 14C date,This study,Sergey Vasilyev,5100,3500-2800 BCE,C / EN,Geoksyur_EN,Geoksyur_EN,Yes,Geoksyur,Turkmenistan,Iran / Turan,37.1907,61.0343,F,I1b,n/a (female),n/a (female),0.025556,29440,n/a (female),n/a (female),S8528.E1.L1,half,0.067,0.978,PASS
I8527,I8527,"MOS324, Geoksyur 1, 1964, 172, вяпе (Vyape), IE-10-23",petrous,separate nuclear and mtDNA target enrichment,no 14C date,This study,Sergey Vasilyev,5100,3500-2800 BCE,C / EN,Geoksyur_EN,Geoksyur_EN,Yes,Geoksyur,Turkmenistan,Iran / Turan,37.1907,61.0343,M,..,CT,manual,0.028172,33138,n/a (<200 SNPs),n/a (<200 SNPs),S8527.E1.L1,half,0.083,n/a (mtDNA coverage <2x),PASS
I8526,I8526,"MOS323, Geoksyur 1, 1964, 188, Tolos ""Щ"", IE-10-15",petrous,separate nuclear and mtDNA target enrichment,no 14C date,This study,Sergey Vasilyev,5100,3500-2800 BCE,C / EN,Geoksyur_EN,Geoksyur_EN,Yes,Geoksyur,Turkmenistan,Iran / Turan,37.1907,61.0343,M,J1d6,R,automatic,0.037494,43754,n/a (<200 SNPs),n/a (<200 SNPs),S8526.E1.L1,half,0.111,0.99,PASS
I12478,I12478,"MOS321, IE-10-22 ",petrous,simultaneous enrichment of nuclear and mtDNA targets (2nd formulation),no 14C date,This study,Sergey Vasilyev,5100,3500-2800 BCE,C / EN,Geoksyur_EN,Geoksyur_EN,Yes,Geoksyur,Turkmenistan,Iran / Turan,37.1907,61.0343,F,HV13b,n/a (female),n/a (female),0.070807,77744,n/a (female),n/a (female),S12478.Y1.E1.L1,half,0.262,0.974,PASS
I12479,I12479,"MOS322, IE-10-16 ",petrous,simultaneous enrichment of nuclear and mtDNA targets (2nd formulation),no 14C date,This study,Sergey Vasilyev,5100,3500-2800 BCE,C / EN,Geoksyur_EN,Geoksyur_EN,Yes,Geoksyur,Turkmenistan,Iran / Turan,37.1907,61.0343,F,I1c1,n/a (female),n/a (female),0.07241,80692,n/a (female),n/a (female),S12479.Y1.E1.L1,half,0.2775,0.968,PASS
I8529,I8529,"MOS326, Geoksyur 1, 1965, N206, IE-10-8",petrous,separate nuclear and mtDNA target enrichment,no 14C date,This study,Sergey Vasilyev,5100,3500-2800 BCE,C / EN,Geoksyur_EN,Geoksyur_EN,Yes,Geoksyur,Turkmenistan,Iran / Turan,37.1907,61.0343,M,U,Q,automatic,0.09774,109739,n/a (<200 SNPs),n/a (<200 SNPs),S8529.E1.L1,half,0.112,0.98,PASS
I8532,I8532,"MOS330, Geoksyur 1, 1963, Skull N107, Tolos ""Ч"" (Ch), IE-10-4",petrous,separate nuclear and mtDNA target enrichment,no 14C date,This study,Sergey Vasilyev,5100,3500-2800 BCE,C / EN,Geoksyur_EN,Geoksyur_EN,Yes,Geoksyur,Turkmenistan,Iran / Turan,37.1907,61.0343,F,..,n/a (female),n/a (female),0.104372,112575,n/a (female),n/a (female),S8532.E1.L1,half,0.078,n/a (mtDNA coverage <2x),PASS
I8505,I8505,"MOS298, Geoksyur 1, 1963, N129, Tolos ""Ф"" (F), IE-10-46",petrous,separate nuclear and mtDNA target enrichment,no 14C date,This study,Sergey Vasilyev,5100,3500-2800 BCE,C / EN,Geoksyur_EN,Geoksyur_EN,Yes,Geoksyur,Turkmenistan,Iran / Turan,37.1907,61.0343,U,H,n/a (sex undetermined),n/a (sex undetermined),0.104389,115625,n/a (sex unknown),n/a (sex unknown),S8505.E1.L1,half,0.091,0.873,"QUESTIONABLE (sex.intermediate=0.331,mtcontam=0.873)"
I12484,I12484,"MOS296, IE-10-47 ",petrous,simultaneous enrichment of nuclear and mtDNA targets (2nd formulation),no 14C date,This study,Sergey Vasilyev,5100,3500-2800 BCE,C / EN,Geoksyur_EN,Geoksyur_EN,Yes,Geoksyur,Turkmenistan,Iran / Turan,37.1907,61.0343,F,R2+13500,n/a (female),n/a (female),0.119506,124924,n/a (female),n/a (female),S12484.Y1.E1.L1,half,0.279,0.979,PASS
I8530,I8530,"MOS327, Geoksyur, 1963, grave 92 ч (ch), Tolos ""P"" (R), GS-1, вяие (Vyaie), IE-10-1",petrous,separate nuclear and mtDNA target enrichment,no 14C date,This study,Sergey Vasilyev,5100,3500-2800 BCE,C / EN,Geoksyur_EN,Geoksyur_EN,Yes,Geoksyur,Turkmenistan,Iran / Turan,37.1907,61.0343,F,I1,n/a (female),n/a (female),0.137141,145415,n/a (female),n/a (female),S8530.E1.L1,half,0.123,0.944,QUESTIONABLE (mtcontam=0.944)
I8503,I8503,"MOS293, Geoksyur 1, 163, IE-10-29",petrous,separate nuclear and mtDNA target enrichment,no 14C date,This study,Sergey Vasilyev,5100,3500-2800 BCE,C / EN,Geoksyur_EN,Geoksyur_EN,Yes,Geoksyur,Turkmenistan,Iran / Turan,37.1907,61.0343,F,J,n/a (female),n/a (female),0.139246,148535,n/a (female),n/a (female),S8503.E1.L1,half,0.103,0.964,PASS
I8524,I8524,"MOS319, Geoksyur 1, 1963, Skull N124, IE-10-14",petrous,separate nuclear and mtDNA target enrichment,no 14C date,This study,Sergey Vasilyev,5100,3500-2800 BCE,C / EN,Geoksyur_EN,Geoksyur_EN,Yes,Geoksyur,Turkmenistan,Iran / Turan,37.1907,61.0343,M,U7a,J,automatic,0.215971,218844,n/a (<200 SNPs),n/a (<200 SNPs),S8524.E1.L1,half,0.122,0.953,PASS
I12482,I12482,"MOS297, IE-10-48 ",petrous,simultaneous enrichment of nuclear and mtDNA targets (2nd formulation),no 14C date,This study,Sergey Vasilyev,5100,3500-2800 BCE,C / EN,Geoksyur_EN,Geoksyur_EN,Yes,Geoksyur,Turkmenistan,Iran / Turan,37.1907,61.0343,M,I1c1,J,automatic,0.261743,235342,n/a (<200 SNPs),n/a (<200 SNPs),S12482.Y1.E1.L1,half,0.169,0.977,PASS
I12483,I12483,"MOS313, IE-10-51 ",petrous,simultaneous enrichment of nuclear and mtDNA targets (2nd formulation),no 14C date,This study,Sergey Vasilyev,5100,3500-2800 BCE,C / EN,Geoksyur_EN,Geoksyur_EN,Yes,Geoksyur,Turkmenistan,Iran / Turan,37.1907,61.0343,F,HV,n/a (female),n/a (female),0.392972,346633,n/a (female),n/a (female),S12483.Y1.E1.L1,half,0.253,1,PASS
I12487,I12487,"MOS329, IE-10-9 ",petrous,simultaneous enrichment of nuclear and mtDNA targets (2nd formulation),no 14C date,This study,Sergey Vasilyev,5100,3500-2800 BCE,C / EN,Geoksyur_EN,Geoksyur_EN,Yes,Geoksyur,Turkmenistan,Iran / Turan,37.1907,61.0343,M,T2g1b,J,manual,0.539743,436355,0.009105,1.694978043,S12487.Y1.E1.L1,half,0.211,1,PASS
I12480,I12480,"MOS318, IE-10-13 ",petrous,simultaneous enrichment of nuclear and mtDNA targets (2nd formulation),no 14C date,This study,Sergey Vasilyev,5100,3500-2800 BCE,C / EN,Geoksyur_EN,Geoksyur_EN,Yes,Geoksyur,Turkmenistan,Iran / Turan,37.1907,61.0343,F,HV,n/a (female),n/a (female),0.678828,477405,n/a (female),n/a (female),S12480.Y1.E1.L1,half,0.204,0.991,PASS
I12481,I12481,"MOS312, IE-10-52 ",petrous,simultaneous enrichment of nuclear and mtDNA targets (2nd formulation),no 14C date,This study,Sergey Vasilyev,5100,3500-2800 BCE,C / EN,Geoksyur_EN,Geoksyur_EN,Yes,Geoksyur,Turkmenistan,Iran / Turan,37.1907,61.0343,M,HV12b1,J1,automatic,0.782561,489463,0.00602,1.7622502,S12481.Y1.E1.L1,half,0.229,0.989,PASS
I12485,I12485,"MOS333, IE-10-6 ",petrous,simultaneous enrichment of nuclear and mtDNA targets (2nd formulation),no 14C date,This study,Sergey Vasilyev,5100,3500-2800 BCE,C / EN,Geoksyur_EN,Geoksyur_EN,Yes,Geoksyur,Turkmenistan,Iran / Turan,37.1907,61.0343,F,J1d4,n/a (female),n/a (female),2.210772,758188,n/a (female),n/a (female),S12485.Y1.E1.L1,half,0.144,0.999,PASS
I12486,I12486,"MOS290, IE-10-33 ",petrous,simultaneous enrichment of nuclear and mtDNA targets (2nd formulation),no 14C date,This study,Sergey Vasilyev,5100,3500-2800 BCE,C / EN,Geoksyur_EN,Geoksyur_EN,Yes,Geoksyur,Turkmenistan,Iran / Turan,37.1907,61.0343,F,J1b1a1,n/a (female),n/a (female),3.113796,772457,n/a (female),n/a (female),S12486.Y1.E1.L1,half,0.161,0.99,PASS
I8531,I8531,"MOS328, Geoksyur 1, 1964, 164, IE-10-2",petrous,separate nuclear and mtDNA target enrichment,no 14C date,This study,Sergey Vasilyev,5100,3500-2800 BCE,C / EN,Geoksyur_EN_possible.1d.rel.I8503,Geoksyur_EN_possible.1d.rel.I8503,No,Geoksyur,Turkmenistan,Iran / Turan,37.1907,61.0343,F,H1bm,n/a (female),n/a (female),0.096963,106819,n/a (female),n/a (female),S8531.E1.L1,half,0.103,0.87,"QUESTIONABLE (mtcontam=0.870, ancestry.outlier)"
I2370,I2370,GEN16a,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,LipsonNature2017,n/a (previously reported),5096,"3346-2945 calBCE (4460±40 BP, Poz-88230)",C / EN,Baden_LCA,Baden_LCA,Yes,Alsonemedi,Hungary,Europe,47.31875,19.16692,F,T2b,n/a (female),n/a (female),4.3,852351,n/a (female),n/a (female),S2370.L1,half,0.099,0.979,PASS
I2366,I2366,GEN12a,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,LipsonNature2017,n/a (previously reported),5093,"3340-2945 calBCE (4455±35 BP, Poz-88227)",C / EN,Baden_LCA,Baden_LCA,Yes,"Budakalász, Luppa csárda",Hungary,Europe,47.62094,19.04494,M,H26a,G2a2b2a1a1b1,manual,6.378,1032010,..,..,"S2366.L1,S3540.L2,S6080.E1.L1","half,half","0.093,0.285,0.086","0.956,0.977,0.985",PASS (Xcontam=0.007)
I5270,I5270,"Tomsk_1951, inventory number 1951, burial 4",tooth (premolar),separate nuclear and mtDNA target enrichment,"3322-2939 calBCE (4435±20 BP, PSUAMS-2405)",This study,"Sergey Mikhailovich Slepchenko, Dmitri Enshin",5081,"3322-2939 calBCE (4435±20 BP, PSUAMS-2405)",EMBA,Afanasievo,Afanasievo,Yes,Elo 1,Russia,Forest / Steppe,50.7581128,85.56024972,M,T1a1,R1b1a1a2a2,automatic,0.212,224619,n/a (<200 SNPs),n/a (<200 SNPs),S5270.E1.L1,half,0.019,0.992,QUESTIONABLE (damage=0.019)
I2753,I2753,GEN22,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,LipsonNature2017,n/a (previously reported),5081,"3332-2929 calBCE (4440±35 BP, Poz-88231)",C / EN,Baden_LCA,Baden_LCA,Yes,"Balatonlelle, Fels-Gamász",Hungary,Europe,46.78469,17.731714,M,U5a1,I2a1a1a,manual,2.306,867336,..,..,S2753.L1,half,..,..,"PASS (Xcontam=0.006, mtcontam=0.977)"
I2367,I2367,GEN13a,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,LipsonNature2017,n/a (previously reported),5081,"3332-2929 calBCE (4440±35 BP, Poz-88228)",C / EN,Baden_LCA,Baden_LCA,Yes,"Budakalász, Luppa csárda",Hungary,Europe,47.62094,19.04494,M,HV,G2a2b2a1a,manual,3.181,908256,..,..,"S2367.L1,S6081.E1.L1","half,half","0.109,0.015","0.985,0.99","PASS (damage=0.015-0.109, neutralized by Xcontam=0.006)"
I0429,I0429,"SVP HB 38, K. 30 (NOT 31), gr. 1",bone (long bone),separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015),n/a (previously reported),5079,"3339-2918 calBCE (4432±66 BP, AA-47804) ",EMBA,Western_Steppe_EMBA,Yamnaya_Samara,Yes,"Samara, Sok River, Lopatino",Russia,Forest / Steppe,53.38,50.39,M,T2c1a2,R1b1a1a2a2,manual,0.843,603212,..,..,S0429.E1.L1,half,..,0.997,PASS
I2069,I2069,230/4,tooth (molar),separate nuclear and mtDNA target enrichment,"3331-2922 calBCE (4430±40 BP, Poz-83425)",This study,"Anatoly Derevianko, Tatiana Chikisheva",5077,"3331-2922 calBCE (4430±40 BP, Poz-83425)",EMBA,Afanasievo,Afanasievo,Yes,"Altai Autonomous Republic, Ust-Kanski, Altai Mountains, Kaminnaya Cave",Russia,Forest / Steppe,51.51300833,84.83533889,F,K1b2a,n/a (female),n/a (female),4.791,864090,n/a (female),n/a (female),S2069.E1.L1,half,0.013,0.991,QUESTIONABLE (damage=0.013)
I7489,I7489,"58, Utyevka V, 1/1",petrous,separate nuclear and mtDNA target enrichment,no 14C date,This study,"Alexander Khokhlov, David Anthony",5076,"3323-2928 calBCE (4430±25 BP, PSUAMS-5790)",EMBA,Western_Steppe_EMBA,Yamnaya_Samara,Yes,"Samara, Samara River, Utyevka V",Russia,Forest / Steppe,52.91277778,50.99055556,F,H2a1e,n/a (female),n/a (female),1.070382,656704,n/a (female),n/a (female),S7489.E1.L1,half,0.138,0.992,PASS
I0439,I0439,"SVP HB 52, K. 1, gr. 1",bone (long bone),separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015),n/a (previously reported),5071,"3321-2921 calBCE (4420±30 BP, Beta-392491)",EMBA,Western_Steppe_EMBA,Yamnaya_Samara,Yes,"Samara, Sok River, Lopatino",Russia,Forest / Steppe,53.38,50.39,M,U5a1a1,R1b1a1a2,manual,0.26,268426,..,..,S0439.E1.L1,half,..,1,PASS
I11736,I11736,"Kurgan 1, burial 4",petrous,simultaneous enrichment of nuclear and mtDNA targets (1st formulation),"3307-2928 calBCE (4425±20 BP, PSUAMS-4944)",This study,"Michael Frachetti, Egor Kitov, Gaziz Akhatov, Antonina Yermolayeva, Aleksander P. Krygin",5068,"3307-2928 calBCE (4425±20 BP, PSUAMS-4944)",EMBA,Mereke_EBA_Yamnaya,Mereke_EBA_Yamnaya,Yes,Mereke,Kazakhstan,Forest / Steppe,50.46,49.2,F,U4,n/a (female),n/a (female),4.855451,800284,n/a (female),n/a (female),S11736.E1.L1,half,0.076,0.996,PASS
I4259,I4259,"UZ-PK-003, Parkhai, 117, 2, 56-74",petrous,separate nuclear and mtDNA target enrichment,"3307-2928 calBCE (4425±20 BP, PSUAMS-2799)",This study,Michael Frachetti,5068,"3307-2928 calBCE (4425±20 BP, PSUAMS-2799)",C / EN,Parkhai_Anau_EN,Parkhai_EN,Yes,Parkhai II,Turkmenistan,Iran / Turan,38.348048,56.24543,F,HV13b,n/a (female),n/a (female),1.716,677966,n/a (female),n/a (female),S4259.E1.L1,half,..,0.986,PASS
I1829,I1829,SS Sal 1/36,bone (cranial),separate nuclear and mtDNA target enrichment,"2915-2878 calBCE (4270±25 BP, PSUAMS-2109)",This study,"James Mallory, Svetlana Svyatko",5066,"3316-2915 calBCE [2915-2878 calBCE (4270±25 BP, PSUAMS-2109), 3316-2915 cal BCE (4409±34 BP, UBA-29307)]",EMBA,Afanasievo,Afanasievo,Yes,"Altai Mountains, Saldyar-1 cemetery",Russia,Forest / Steppe,50.55423889,86.59013611,F,J2a2a,n/a (female),n/a (female),0.304,291825,n/a (female),n/a (female),S1829.E1.L1,half,0.05,0.993,PASS
I8502,I8502,"MOS291, Geoksyur 1, 1963, Tolos ""Ц (ts)"", N144, IE-10-27",petrous,separate nuclear and mtDNA target enrichment,"3309-2923 calBCE (4420±25 BP, PSUAMS-4038)",This study,Sergey Vasilyev,5066,"3309-2923 calBCE (4420±25 BP, PSUAMS-4038)",C / EN,Geoksyur_EN_1.or.2d.rel.I8524_1d.rel.I8505,Geoksyur_EN_1.or.2d.rel.I8524_1d.rel.I8505,No,Geoksyur,Turkmenistan,Iran / Turan,37.1907,61.0343,F,U7a,n/a (female),n/a (female),0.173724,181699,n/a (female),n/a (female),S8502.E1.L1,half,0.101,0.965,PASS
I0444,I0444,"SVP HB 58, Site I",bone (long bone),separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015),n/a (previously reported),5059,"3335-2882 calBCE (4370±75 BP, AA-12570)",EMBA,Western_Steppe_EMBA,Yamnaya_Samara,Yes,"Samara, Kutuluk, Kutuluk River",Russia,Forest / Steppe,53.31,51.15,M,H6a1b,R1b1a1a2,manual,0.653,539947,..,..,S0444.E1.L1,half,..,0.998,PASS (Xcontam=0.015)
I2434,I2434,5.3,bone (cranial),separate nuclear and mtDNA target enrichment,no 14C date,MathiesonNature2018,n/a (previously reported),5050,3400-2800 BCE,C / EN,Globular_Amphora,Globular_Amphora,Yes,Kierzkowo,Poland,Europe,52.85,17.88333333,F,U5b1d1,n/a (female),n/a (female),0.107,112399,n/a (female),n/a (female),S2434.E1.L1,half,0.06,0.99,PASS
I2441,I2441,8.5,bone,separate nuclear and mtDNA target enrichment,no 14C date,MathiesonNature2018,n/a (previously reported),5050,3400-2800 BCE,C / EN,Globular_Amphora,Globular_Amphora,Yes,Kierzkowo,Poland,Europe,52.85,17.88333333,M,K1b1a1,I2a2a1b,manual,0.752,510373,..,..,S2441.E1.L1,half,0.104,0.994,PASS
I4634,I4634,"StPet13, site II, grave K-168, individual 9",petrous,separate nuclear and mtDNA target enrichment,"3264-2924 calBCE (4415±25 BP, PSUAMS-3757)",This study,"Vyacheslav Moiseyev, Andrey Gromov",5044,"3264-2924 calBCE (4415±25 BP, PSUAMS-3757)",C / EN,Parkhai_Anau_EN,Parkhai_EN,Yes,Parkhai II,Turkmenistan,Iran / Turan,38.348048,56.24543,F,I1b,n/a (female),n/a (female),3.801,781276,n/a (female),n/a (female),S4634.E1.L1,half,0.117,0.992,PASS
I5277,I5277,"Tomsk_2099, inventory number 2099, Kurgan 5",petrous,separate nuclear and mtDNA target enrichment,"3083-2916 calBCE (4375±20 BP, PSUAMS-2353); 3264-2929 calBCE (4420±20 BP, PSUAMS-2368)",This study,"Sergey Mikhailovich Slepchenko, Dmitri Enshin",5040,"3264-2916 calBCE [3083-2916 calBCE (4375±20 BP, PSUAMS-2353), 3264-2929 calBCE (4420±20 BP, PSUAMS-2368)]",EMBA,Afanasievo,Afanasievo,Yes,Elo Bashi,Russia,Forest / Steppe,50.75648626,85.56087884,M,U4b3,R1b1a1a2a2c1,manual,2.702,818967,0.004497,3.243987226,S5277.E1.L1,half,0.097,0.994,PASS (Xcontam=0.004)
I2368,I2368,GEN14a,petrous,separate nuclear and mtDNA target enrichment,no 14C date,LipsonNature2017,n/a (previously reported),5025,3300-2850 BCE,C / EN,Baden_LCA,Baden_LCA,Yes,"Budakalász, Luppa csárda",Hungary,Europe,47.62094,19.04494,M,U5b,G2a2b2a1a1c1a,manual,0.07,79059,..,..,S2368.L1,half,0.147,0.408,QUESTIONABLE_CRITICAL (mtcontam=0.408)
I8726,I8726,"201, Grave 201, LS 1, Period I, phases 10/9",petrous,separate nuclear and mtDNA target enrichment,no 14C date,This study,"Massimo Vidale, Alfredo Coppa",5000,3100-3000 BCE,BA,Indus_Periphery4,Shahr_I_Sokhta_BA2,Yes,"Seistan, Shahr-i Sokhta",Iran,Iran / Turan,30.649857,61.400311,M,U2c1,J2a1h,automatic,1.07642,615135,0.007786,2.69511456,S8726.E1.L1,half,0.131,0.995,PASS (Xcontam=0.008)
I11469,I11469,"413, Grave 411",petrous,simultaneous enrichment of nuclear and mtDNA targets (1st formulation),no 14C date,This study,"Massimo Vidale, Alfredo Coppa",5000,3200-2900 BCE,BA,Shahr_I_Sokhta_BA1_LowCov,Shahr_I_Sokhta_BA1_LowCov,No,"Seistan, Shahr-i Sokhta",Iran,Iran / Turan,30.649857,61.400311,F,H40a,n/a (female),n/a (female),0.003066,3630,n/a (female),n/a (female),S11469.Y1.E1.L1,half,0.074,..,QUESTIONABLE (2500.to.5000.SNPS)
I2071,I2071,"230/6, tomb 10",tooth (premolar),separate nuclear and mtDNA target enrichment,"2926-2704 calBCE (4260±35 BP, Poz-83510)",This study,"Anatoly Derevianko, Tatiana Chikisheva",4968,"3331-2704 calBCE [2926-2704 calBCE (4260±35 BP, Poz-83510), 3322-2923 calBCE (4423±29 BP, OxA-31219), 3331-2935 calBCE (4442±29 BP, OxA-31220)]",EMBA,Afanasievo,Afanasievo,Yes,"Altai Mountains, Ust'-Kuyum",Russia,Forest / Steppe,51.49763611,85.97078889,M,H6a1b,R1b1a1a2a2,automatic,0.635,509531,0.001625,0.633044289,S2071.E1.L1,half,0.033,0.998,PASS
